Владение русским,Проживание в чужой стране,Проживание в новой стране менее 11 лет,age,gen,duration,Orgina_con,New_con,MFA1,MFA2,MFA3,MFA4,L1,L2,L3,L4,MFR1,MFR2,MFR3,MFR4,AD1,AD2,AD3,AD4,RH1,RH2,RH3,RH4,UHS TOTAL,MHC_emot1,MHC_emot2,MHS_emot3,MHC_soc4,MHC_soc5,MHC_soc6,MHC_soc7,MHC_soc8,MHC_psy9,MHC_psy10,MHC_psy11,MHC_psy12,MHC_psy13,MHC_psy14,MHC TOTAL,MSPSS1,MSPSS2,MSPSS3,MSPSS4,MSPSS5,MSPSS6,MSPSS7,MSPSS8,MSPSS9,MSPSS10,MSPSS11,MSPSS12,MSPSS Total,SOBI-P1,SOBI-P2,SOBI-P3,SOBI-P4,SOBI-P5,SOBI-P6,SOBI-P7,SOBI-P8,SOBI-P9,SOBI-P10,SOBI-P11,SOBI-P12,SOBI-P13,SOBI-P14,SOBI-P15,SOBI-P16,SOBI-P17,SOBI-P18,SOBI-P Total
Да,Да,Да,34,F,2,Германия,Россия,4,4,3,4,2,3,4,3,3,3,2,4,4,3,3,4,3,4,3,3,3.3,1,0,2,0,1,3,1,0,0,1,0,2,0,0,11,4,3,4,3,2,3,4,3,4,3,4,4,3.42,3,3,3,4,4,4,3,3,3,3,4,3,3,3,4,4,3,4,61
Да,Да,Да,21,M,1,Украина,Германия,4,3,5,4,3,4,4,4,5,3,5,4,5,3,4,5,3,4,3,5,4,0,1,0,1,0,0,0,1,1,0,0,1,0,0,5,3,2,3,3,2,3,2,1,3,3,2,3,2.50,3,2,2,2,3,1,2,1,1,2,1,1,2,2,1,3,2,2,33
Да,Да,Да,20,F,9,Украина,Чехия,5,5,5,5,4,4,4,5,4,4,4,3,4,4,4,4,4,4,5,4,4.25,0,0,0,0,0,0,1,0,1,0,0,1,0,0,3,2,1,2,2,2,2,3,3,2,2,2,2,2.08,2,1,1,2,1,1,2,1,1,2,1,2,1,1,2,1,1,2,25
Да,Да,Да,18,F,5,Россия,Нидерланды,3,2,3,3,4,5,2,4,4,3,2,2,3,4,2,2,3,3,2,2,2.9,2,3,2,1,2,1,2,0,2,1,1,0,3,1,21,4,3,5,4,3,3,4,3,4,5,3,4,3.75,2,2,2,1,3,2,2,2,3,3,3,2,2,3,2,3,3,3,43
Да,Да,Да,18,F,7,Россия,Турция,1,2,1,1,2,2,2,2,3,1,1,2,2,3,2,1,2,3,2,2,1.85,4,4,5,2,3,3,4,3,4,4,5,4,4,4,53,6,5,6,6,6,5,7,6,6,6,5,7,5.92,4,4,3,3,3,3,3,4,4,3,3,4,3,4,4,2,4,3,61
Да,Да,Да,19,F,6,Россия,Англия,3,3,2,3,4,4,3,3,4,3,4,2,3,4,2,3,3,2,4,3,3.1,2,4,3,1,1,0,1,3,1,2,0,1,3,1,23,3,2,4,3,3,3,3,2,4,3,2,3,2.92,3,3,2,2,2,2,2,2,3,2,2,2,3,2,2,2,2,3,41
Да,Да,Да,26,M,1,Россия,США,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1.15,5,4,5,5,5,5,4,5,3,5,5,4,5,4,64,6,7,7,7,7,6,5,7,7,7,7,6,6.58,4,4,3,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,68
Да,Да,Да,29,F,1,Россия,Марокко,2,2,1,2,1,2,1,1,1,1,2,2,1,1,2,1,1,1,2,2,1.45,4,5,4,3,5,5,5,3,4,5,3,4,4,5,59,7,6,7,6,5,6,7,6,7,6,7,5,6.25,4,4,4,4,4,4,4,3,3,4,4,3,4,4,4,4,3,4,68
Да,Да,Да,21,F,3,Беларусь,Англия,3,4,3,3,2,3,2,2,3,3,1,2,2,3,3,2,3,3,2,2,2.55,2,3,3,2,1,3,3,2,3,4,2,1,1,2,32,5,4,5,4,5,6,6,4,5,5,5,5,4.92,2,2,3,3,3,3,2,4,3,3,3,2,2,3,4,3,2,2,49
Да,Да,Да,38,F,8,Россия,Китай,3,4,3,4,2,3,2,3,2,3,3,4,2,2,3,3,2,2,3,3,2.8,1,2,3,1,1,2,2,1,1,2,3,3,1,3,26,4,5,4,3,4,3,4,4,4,4,3,5,3.92,3,2,3,2,2,2,3,2,2,1,2,3,3,2,2,3,2,3,42
Да,Да,Да,34,M,4,Украина,Германия,5,4,5,4,4,4,5,4,4,4,5,4,5,5,4,5,4,5,5,4,4.45,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,2,2,3,2,2,2,2,1,2,1,1,1.83,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,20
Да,Да,Да,31,F,2,Россия,Китай,2,2,3,3,4,3,2,3,4,2,3,3,2,2,3,2,2,3,2,2,2.6,2,1,2,3,1,1,1,3,0,1,1,0,0,2,18,3,4,5,4,5,3,3,3,3,4,5,5,3.92,3,3,2,2,3,2,3,2,3,3,2,3,2,2,3,3,2,3,46
Да,Да,Да,25,F,2,Украина,Германия,4,5,4,4,5,4,4,5,4,4,5,4,5,4,4,4,5,5,5,4,4.4,0,0,0,0,1,0,1,1,0,0,1,1,0,1,6,1,1,2,1,2,1,2,1,2,2,3,1,1.58,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,20
Да,Да,Да,21,F,6,Беларусь,Китай,3,4,2,3,3,4,2,3,4,2,3,3,2,4,3,3,4,2,1,3,2.9,3,1,3,1,0,2,3,2,1,0,1,1,1,1,20,4,3,5,5,4,5,3,4,3,4,4,4,4.00,2,2,2,2,2,3,3,2,2,2,3,2,2,4,3,2,2,3,43
Да,Да,Да,23,M,3,Россия,Китай,3,2,3,3,2,3,3,2,4,3,3,4,3,4,4,3,4,3,3,2,3.05,3,4,3,1,1,2,1,1,1,1,1,2,2,1,24,3,4,3,4,4,3,3,3,3,3,3,3,3.25,2,2,3,2,3,3,2,3,2,3,2,2,2,3,2,2,2,2,42
Да,Да,Да,39,F,1,Беларусь,Франция,2,3,3,2,2,2,3,3,3,2,3,1,1,2,2,3,3,3,2,2,2.35,2,2,2,3,4,3,2,2,3,2,1,3,3,2,34,5,6,6,5,7,5,6,4,5,5,5,5,5.33,4,2,3,4,3,3,2,3,3,3,3,4,3,3,3,3,3,3,55
Да,Да,Да,35,F,9,Украина,Германия,4,4,4,3,5,4,3,4,4,4,4,4,5,4,4,3,4,4,4,5,4,0,1,0,0,1,1,0,1,1,0,0,1,1,1,8,2,2,2,1,3,2,2,2,2,2,1,2,1.92,1,2,1,2,2,1,1,2,2,1,1,2,2,3,1,2,2,2,30
Да,Да,Да,37,F,4,Россия,Австрия,2,1,2,2,3,3,2,3,1,1,2,2,2,1,2,2,1,3,3,3,2.05,4,4,2,3,3,4,1,2,3,3,3,3,3,1,39,6,7,5,7,7,6,4,3,2,5,4,6,5.17,2,2,2,4,2,3,2,3,1,3,1,2,2,3,3,3,2,3,43
Да,Да,Да,21,F,10,Россия,Чехия,3,4,4,4,4,3,3,3,4,5,3,3,4,4,4,4,3,3,4,3,3.6,1,1,0,1,1,2,2,2,0,0,1,1,0,0,12,2,4,3,4,3,3,2,3,4,3,3,1,2.92,2,3,3,3,1,2,2,2,2,3,2,2,2,3,2,3,3,3,43
Да,Да,Да,26,F,2,Казахстан,Германия,3,4,3,3,4,4,3,2,3,4,2,3,2,2,2,3,3,3,2,3,2.9,2,3,1,3,2,2,1,3,3,2,0,1,1,2,26,3,4,3,5,4,4,3,5,4,3,4,4,3.83,3,2,1,3,2,2,3,2,3,2,3,2,3,3,2,3,2,3,44
Да,Да,Да,24,F,10,Россия,Чехия,4,4,3,4,2,3,3,2,3,3,3,2,3,2,2,4,4,3,3,2,2.95,2,1,1,3,1,1,0,3,1,0,1,0,1,1,16,4,3,4,3,2,5,4,3,3,4,2,3,3.33,3,3,2,2,2,2,3,2,2,2,3,3,2,2,2,3,2,2,42
Да,Да,Да,22,M,7,Германия,Россия,2,1,2,2,2,3,2,2,1,1,1,1,2,2,2,1,2,2,2,1,1.7,4,4,4,3,5,5,4,4,5,5,4,5,3,5,60,7,7,6,7,5,6,7,5,6,6,7,6,6.25,2,3,2,2,2,3,3,1,2,2,3,2,1,3,2,2,1,3,39
Да,Да,Да,31,M,2,Россия,Литва,4,4,4,4,3,3,4,3,3,3,4,3,4,4,2,4,3,3,4,3,3.45,1,1,0,0,1,2,1,1,1,0,1,0,1,0,10,4,3,4,4,4,5,2,2,2,3,3,4,3.33,2,1,3,2,2,2,2,3,2,2,2,1,2,2,2,2,1,2,35
Да,Да,Да,28,M,8,Украина,Германия,5,4,4,4,5,5,5,4,4,4,5,4,5,5,5,4,5,3,5,4,4.45,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,1,1,1,1,2,1,1,2,1,1,1,1,1.17,1,1,2,1,1,2,1,2,1,1,2,1,1,1,2,2,2,2,26
Да,Да,Да,36,F,4,Россия,Латвия,4,4,4,4,3,4,3,3,4,4,3,3,3,4,2,3,3,3,4,3,3.4,0,1,1,1,0,1,0,0,0,1,0,1,1,0,7,3,2,3,3,4,2,2,3,4,2,3,3,2.83,3,2,2,3,2,3,2,2,2,2,2,2,3,2,2,3,2,2,41
Да,Да,Да,36,F,6,Беларусь,Испания,2,2,3,2,3,2,2,2,3,3,3,2,2,3,2,4,3,2,3,2,2.5,2,2,1,4,2,1,0,2,1,1,1,2,1,1,21,5,5,4,5,3,6,5,5,6,4,5,5,4.83,3,3,3,3,4,2,3,3,3,3,3,3,3,3,3,3,3,3,54
Да,Да,Да,21,F,3,Украина,Германия,3,4,4,4,4,3,4,5,2,4,4,4,4,3,4,5,4,4,4,3,3.8,1,1,1,1,2,0,2,1,0,2,1,1,0,1,14,3,4,2,3,4,2,3,2,3,2,3,2,2.75,4,3,2,3,2,2,2,2,2,3,2,2,2,2,3,2,2,2,42
Да,Да,Да,19,F,4,Россия,Италия,2,2,1,2,2,1,3,3,1,3,2,3,2,2,1,2,3,2,2,2,2.05,4,3,3,3,3,2,2,2,3,2,3,2,3,3,38,5,7,6,5,6,7,5,7,6,4,4,6,5.67,3,3,2,3,2,3,3,3,2,2,2,2,1,2,3,3,2,2,43
Да,Да,Да,18,M,1,Россия,Италия,3,3,2,2,3,2,2,1,2,3,3,1,2,2,3,2,2,1,2,3,2.2,3,3,2,2,4,3,3,3,3,4,4,4,3,4,45,5,6,5,4,5,5,6,7,6,5,6,5,5.42,3,3,4,4,3,3,2,3,3,4,2,3,3,3,3,3,3,3,55
Да,Да,Да,25,F,10,Россия,Литва,4,3,3,4,3,3,4,3,2,2,2,3,3,4,4,3,3,2,3,4,3.1,2,3,3,1,2,1,1,3,2,2,1,1,3,2,27,3,4,4,4,5,4,2,4,3,3,4,4,3.67,2,2,2,2,2,2,2,3,2,2,3,2,3,2,2,2,1,2,38
Да,Да,Да,27,F,2,Россия,Литва,4,4,4,3,3,3,2,4,4,3,3,2,3,3,4,2,3,4,3,3,3.2,2,2,1,3,3,1,2,2,1,3,2,2,1,1,26,3,4,3,3,4,5,4,5,3,3,3,3,3.58,2,2,3,3,2,2,1,2,2,2,2,2,1,2,2,2,3,2,37
Да,Да,Да,32,F,5,Казахстан,Англия,3,3,3,2,4,2,4,3,3,2,4,2,3,5,3,4,3,2,3,4,3.1,1,1,2,1,3,3,1,1,1,0,1,1,1,0,17,4,3,4,5,3,4,3,3,4,5,3,3,3.67,3,3,3,3,2,2,3,2,4,3,2,2,3,2,3,3,3,4,50
Да,Да,Да,36,M,7,Украина,Германия,4,4,4,4,4,5,5,4,4,4,5,4,4,4,4,4,4,4,4,4,4.15,0,1,0,1,0,1,0,1,0,0,0,1,1,0,6,1,1,2,1,2,2,1,1,2,2,1,1,1.42,2,1,1,1,2,1,1,2,1,1,1,2,1,3,2,1,1,1,25
Да,Да,Да,31,F,3,Россия,Германия,2,2,3,2,2,2,3,2,3,2,1,2,1,2,2,2,3,2,1,1,2,3,3,2,4,2,3,1,3,3,2,1,4,3,3,37,6,6,6,6,6,4,4,4,5,4,6,4,5.08,2,3,1,3,2,2,2,3,3,2,2,3,3,3,2,2,1,3,42
Да,Да,Да,24,F,9,Беларусь,Нидерланды,3,4,3,3,3,4,3,2,3,3,3,2,2,3,3,2,3,2,3,3,2.85,2,2,2,3,2,3,2,2,3,2,2,1,1,1,28,3,4,3,5,4,4,4,3,6,7,5,4,4.33,2,2,2,3,3,3,3,3,2,3,3,3,3,3,3,3,2,2,48
Да,Да,Да,23,F,5,Россия,Чехия,2,2,1,2,2,2,2,1,2,3,2,3,2,3,1,2,2,2,2,2,2,3,3,4,3,2,4,2,2,4,2,2,3,3,2,39,5,4,4,5,4,5,6,7,5,5,4,6,5.00,3,3,3,2,2,3,2,3,2,3,3,2,2,3,3,2,2,2,45
Да,Да,Да,19,F,2,Германия,Россия,1,2,2,1,2,1,2,2,2,1,2,1,2,2,1,1,2,2,1,2,1.6,5,4,4,5,4,5,4,5,4,5,4,5,5,5,64,6,5,5,5,6,5,4,7,6,6,5,5,5.42,3,3,4,3,4,4,4,3,2,4,4,4,4,3,4,3,4,4,64
Да,Да,Да,38,M,8,Россия,Германия,3,4,3,4,4,3,3,4,3,4,3,3,3,4,4,4,4,3,3,4,3.5,0,1,2,1,1,1,0,0,0,1,1,0,0,1,9,2,3,1,1,2,3,3,2,3,4,3,3,2.50,2,3,2,2,2,3,2,3,2,2,3,3,4,2,3,3,2,3,46
Да,Да,Да,19,F,1,Германия,Россия,1,1,2,1,2,1,2,1,1,2,2,1,1,2,1,2,2,1,2,1,1.45,5,4,4,5,5,4,5,4,4,2,4,4,5,4,59,6,7,6,6,7,6,7,6,5,6,6,5,6.08,3,2,3,3,3,3,4,4,3,3,4,3,4,3,2,3,4,3,57
Да,Да,Да,25,F,5,Россия,Турция,2,2,1,2,2,1,1,2,2,3,3,2,2,3,2,2,1,2,2,3,2,3,1,1,3,4,2,3,2,1,4,3,2,3,3,35,5,6,3,4,5,4,5,6,7,6,6,6,5.25,2,2,1,3,2,2,3,3,2,3,1,1,2,2,2,1,1,2,35
Да,Да,Да,39,F,9,Россия,Германия,3,4,4,3,3,4,3,3,4,4,4,4,3,4,4,3,3,4,3,3,3.5,0,1,0,0,0,0,1,1,0,0,0,0,1,1,5,3,2,2,1,3,2,3,4,2,1,2,3,2.33,2,3,2,2,2,1,2,2,2,1,1,2,2,1,1,2,1,3,32
Да,Да,Да,32,F,6,Россия,Нидерланды,3,3,2,3,2,3,2,4,3,2,4,4,2,3,3,2,3,4,3,3,2.9,2,2,2,3,2,2,1,3,3,2,1,0,1,1,25,4,4,3,5,2,5,2,4,2,3,2,3,3.25,2,3,2,3,2,2,2,2,3,2,2,2,1,2,4,3,2,2,41
Да,Да,Да,18,M,1,Беларусь,Германия,3,4,3,3,4,3,4,3,4,3,4,3,3,4,3,3,4,3,4,3,3.4,1,1,1,2,3,1,1,1,0,0,0,1,0,0,12,2,3,4,2,1,3,4,2,2,2,4,3,2.67,2,2,1,2,2,2,2,2,2,2,2,2,2,3,1,1,2,2,34
Да,Да,Да,35,F,8,Россия,Германия,3,3,3,4,4,3,4,4,4,4,3,3,4,3,4,3,3,3,4,3,3.45,1,0,1,3,1,1,0,1,0,0,1,1,0,1,11,3,2,3,3,2,4,1,2,1,2,3,1,2.25,2,2,2,3,1,1,2,1,2,3,2,2,1,2,2,2,3,2,35
Да,Да,Да,23,F,3,Германия,Россия,1,1,2,1,2,1,1,1,2,1,1,1,1,2,1,2,1,1,1,1,1.25,4,4,3,5,5,4,4,5,4,4,4,2,4,5,57,7,5,6,5,5,6,5,7,6,7,5,6,5.83,3,3,4,3,4,3,3,2,4,2,4,3,4,3,3,4,3,3,58
