Владение русским,Проживание в чужой стране,Проживание в новой стране менее 11 лет,age,gen,duration,Orgina_con,New_con,MFA1,MFA2,MFA3,MFA4,L1,L2,L3,L4,MFR1,MFR2,MFR3,MFR4,AD1,AD2,AD3,AD4,RH1,RH2,RH3,RH4,UHS TOTAL,MHC_emot1,MHC_emot2,MHS_emot3,MHC_soc4,MHC_soc5,MHC_soc6,MHC_soc7,MHC_soc8,MHC_psy9,MHC_psy10,MHC_psy11,MHC_psy12,MHC_psy13,MHC_psy14,MHC TOTAL,MSPSS1,MSPSS2,MSPSS3,MSPSS4,MSPSS5,MSPSS6,MSPSS7,MSPSS8,MSPSS9,MSPSS10,MSPSS11,MSPSS12,MSPSS Total,SOBI-P1,SOBI-P2,SOBI-P3,SOBI-P4,SOBI-P5,SOBI-P6,SOBI-P7,SOBI-P8,SOBI-P9,SOBI-P10,SOBI-P11,SOBI-P12,SOBI-P13,SOBI-P14,SOBI-P15,SOBI-P16,SOBI-P17,SOBI-P18,SOBI-P Total
Да,Да,Да,19,M,1,Россия,Англия,3,4,5,4,5,5,4,3,4,2,5,4,5,5,5,2,4,1,3,3,3.8,0,0,1,1,0,1,1,0,1,1,0,1,1,0,8,2,2,2,3,2,2,3,2,2,2,3,3,2.33,1,2,2,2,2,1,1,2,2,2,1,2,1,2,2,1,1,1,28
Да,Да,Да,19,F,2,Россия,Нидерланды,4,4,4,4,3,2,1,1,4,1,4,4,4,4,4,3,3,1,2,2,2.95,3,1,3,0,3,1,3,1,1,1,3,0,3,1,24,3,3,4,4,4,3,4,5,5,4,3,4,3.83,2,3,2,3,2,2,2,2,2,2,3,2,2,2,2,2,3,3,41
Да,Да,Да,18,F,2,Россия,Нидерланды,4,4,3,3,5,3,4,2,4,4,4,3,3,3,4,2,4,3,3,3,3.4,1,0,1,3,1,1,0,1,0,1,0,1,1,0,11,2,2,2,3,2,3,3,3,2,2,3,3,2.50,2,2,2,1,1,3,3,2,2,2,3,2,2,1,1,2,2,1,34
Да,Да,Да,24,F,1,Россия,Турция,3,4,2,3,1,1,1,1,3,1,1,3,1,1,1,1,1,1,1,1,1.6,4,4,3,3,5,3,4,3,3,5,4,3,3,5,52,6,5,7,6,7,7,6,6,7,6,6,6,6.25,3,3,4,4,4,4,4,3,4,4,3,3,3,3,4,4,3,4,64
Да,Да,Да,21,M,3,Россия,Англия,3,4,3,4,3,1,3,2,4,1,2,4,4,2,4,3,3,2,4,4,3,1,1,1,1,0,1,1,3,3,0,1,1,1,1,16,3,3,4,2,2,3,2,3,3,4,3,3,2.92,3,2,3,3,2,4,3,3,4,3,3,4,3,4,4,3,4,3,58
Да,Да,Да,21,F,2,Россия,Нидерланды,2,2,2,3,2,1,1,1,2,4,2,2,2,2,2,2,1,1,1,1,1.8,4,4,4,5,3,4,3,5,3,3,4,3,4,4,53,5,6,6,5,7,6,7,7,6,5,6,6,6.00,3,4,3,2,3,3,3,3,4,3,3,3,3,3,3,3,4,3,56
Да,Да,Да,19,M,8,Россия,Германия,3,4,5,3,5,3,3,2,4,4,3,3,4,4,3,3,5,3,2,5,3.55,0,0,1,1,0,0,1,1,1,1,0,1,0,1,8,3,3,2,3,3,3,2,4,3,3,3,3,2.92,2,1,2,3,1,1,2,2,2,1,2,2,2,2,2,2,2,2,33
Да,Да,Да,20,F,3,Россия,Турция,2,4,3,1,3,3,1,2,4,2,2,4,3,2,2,1,2,2,2,2,2.35,3,3,3,1,3,1,0,1,3,1,3,1,1,1,25,2,2,2,3,2,2,3,4,3,3,3,2,2.58,3,3,3,4,3,3,3,3,2,2,2,3,3,4,3,3,3,2,52
Да,Да,Да,23,F,2,Россия,Литва,1,1,2,3,2,1,2,2,1,1,1,2,1,1,1,1,1,1,1,2,1.4,4,5,3,5,5,5,4,5,5,5,4,2,4,5,61,5,6,6,6,5,6,6,7,7,7,7,6,6.17,4,3,3,4,3,3,4,4,3,2,3,3,4,3,4,2,3,3,58
Да,Да,Да,22,F,5,Россия,Германия,3,3,3,4,3,1,3,5,2,4,2,3,3,2,3,2,2,1,1,2,2.6,1,1,3,1,0,1,1,1,1,0,3,1,1,1,16,4,4,3,4,4,3,4,4,3,4,4,4,3.75,3,2,2,2,2,3,3,2,3,3,3,4,2,2,2,3,3,3,47
